2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Teacher Man,The Audacity of Hope,In Defense of Food,Outliers,Have a Little Faith,Decision Points,American Sniper,My Beloved World,Duty,Unbroken,Not My Father's Son: A Memoir,The Princess Diarist,Grant,The Threat
Team of Rivals,In an Instant,Tom Cruise: An Unauthorized Biography,The Yankee Years,Committed,Unbroken,Ameritopia,Salt Sugar Fat,David and Goliath,Dead Wake,Between the World and Me,Hillbilly Elegy,	Astrophysics for People in a Hurry,	The Right Side of History
Our Endangered Values,A Long Way Gone,Liberal Fascism,Liberty and Tyranny,Game Change,Known and Unknown,Imagine,Sum It Up,The Future of the Mind,Becoming Steve Jobs,When Breath Becomes Air,Hidden Figures,Fire and Fury,	Life Will Be the Death of Me
My Friend Leonard,Einstein,Losing It,Resilience,No Apology,The Social Animal,Drift,Lean In,Uganda Be Kidding Me,The Residence,The Rainbow Comes and Goes,Portraits of Courage,Educated,The Mueller Report
For Laci,At the Center of the Storm,Beautiful Boy,Liberty and Tyranny,	Chelsea Chelsea Bang Bang,Red,The Passage of Power	,	Let's Explore Diabetes With Owls,10% Happier,	The Road to Character,Hamilton: The Revolution,The Zookeeper's Wife,I'll Be Gone in the Dark,The Pioneers
Marley & Me,God Is Not Great,Mistaken Identity,Catastrophe,The Big Short,Laura Hillenbrand | |Random House,Amateur,"Happy, Happy, Happy",Thrive,And the Good News Is...,The Gene: An Intimate History,Old School: Life in the Sane Lane,Russian Roulette,	Howard Stern Comes Again
Don't Make a Black Woman Take off Her Earrings	,,Home,Unmasked,Oprah: A Biography,Onward,Wild,The Guns at Last Light,Flash Boys,Hope,Bill O'Relly's Legends and Lies: The Patriots,Shattered,Secret Empires,Unfreedom of the Press
Dispatches from the Edge,The Assault on Reason,Beautiful Boy,Culture of Corruption,Spoken from the Heart,Bossypants,Unbroken,Eleven Rings,Capital in the Twenty-First Century,The Wright Brothers,Alexander Hamilton,Option B,This Is Me,Three Women
Godless: The Church of Liberalism,The Reagan Diaries,"Are You There, Vodka? It's Me, Chelsea",Official Book Club Selection,Shit My Dad Says,	Lies That Chelsea Handler Told Me,Paterno,Zealot,One Nation,Down the Rabbit Hole,Crisis of Character,Astrophysics for People in a Hurry	,Killers of the Flower Moon,Call Sign Chaos
Wisdom of Our Fathers,The Diana Chronicles,The Revolution: A Manifesto,True Compass,The Obama Diaries,In the Garden of Beasts,Obama's America,The Liberty Amendments,Hard Choices,Between the World and Me,It Gets Worse: A Collection of Essays,"Al Franken, Giant of the Senate",Fascism: A Warning,Talking to Strangers
Fiasco,Lone Survivor,Audition: A Memoir,Arguing with Idiots,Crimes Against Liberty,Those Guys Have All the Fun,No Easy Day,Si-cology 1,Blood Feud,Plunder and Deceit,Hillary's America,I Can't Make This Up,A Higher Loyalty,Inside Out
I Feel Bad About My Neck,Quiet Strength,What Happened,Have a Little Faith,The Grand Design,The Greater Journey,Killing Kennedy,Killing Jesus,Unbroken,It Is About Islam,Hillbilly Elegy,Understanding Trump,The Soul of America,Blowout
Culture Warrior,It's All About Him,When You Are Engulfed in Flames,The Book of Basketball,Earth (The Book),Unbroken,Thomas Jefferson,Humans of New York,America,A Walk in the Woods,The Girl with the Lower Back Tattoo,	Rediscovering Americanism,	How to Change Your Mind,Me
State of Denial,You Can Run But You Can't Hide,The Obama Nation: Leftist Politics and the Cult of Personality,Open,Obama's Wars,A Stolen Life,,Things That Matter,What If,Why Not Me?,Love Warrior,Devil's Bargain,The Restless Wave,The Beautiful Ones
The Innocent Man,Quiet Strength,sTORI Telling,Going Rogue,Life,In My Time,,,13 Hours,Killing Reagan,Killing the Rising Sun,The Glass Castle,Calypso,Triggered
The Audacity of Hope,Wonderful Tonight,"Hot, Flat, and Crowded",,Decision Points,Jacqueline Kennedy,,,Killing Patton,	Humans of New York: Stories,Born to Run,What Happened,Kitchen Confidential,A Warning
,	Giving: How Each of Us Can Change the World,Against Medical Advice: A True Story,,,Killing Lincoln,,,Yes Please,Troublemaker,The Magnolia Story,Killing England,Things That Matter,Crime in Progress
,Power to the People,Too Fat to Fish,,,Steve Jobs,,,41,,Settle for More,Grant,Educated,
,The Age of Turbulence,Things That Matter,,,,,,,,,Leonardo Da Vinci,"Liars, Leakers and Liberals",
,My Grandfather's Son,Outliers,,,,,,,,,Sisters First,The Russia Hoax,
,I Am America (And So Can You!),,,,,,,,,,Obama: An Intimate Portrait,	Everything Trump Touches Dies,
,An Inconvenient Book,,,,,,,,,,"Promise Me, Dad",Unhinged,
,,,,,,,,,,,,The Restless Wave,
,,,,,,,,,,,,Sapiens,
,,,,,,,,,,,,Fear: Trump in the White House	,
,,,,,,,,,,,,Ship of Fools,
,,,,,,,,,,,,Killing the SS,
,,,,,,,,,,,,Beastie Boys Book,
,,,,,,,,,,,,Becoming,